player_name	normalized_name
Jacardia Wright	jacardia wright
Joseph Fortson	joseph fortson
Ryan Succop	ryan succop
Seth Roberts	seth roberts
Sergio Castillo	sergio castillo
Nyheim Hines	nyheim hines
Will Levis	will levis
Cameron Brate	cameron brate
C.J. Uzomah	cj uzomah
Trey Sermon	trey sermon
Gabe Holmes	gabe holmes
Robert Woods	robert woods
Nick Boyle	nick boyle
Puka Nacua	puka nacua
Anthony Firkser	anthony firkser
Dan Chisena	dan chisena
Dion Sims	dion sims
Mo Alie-Cox	mo alie-cox
Mike Strachan	mike strachan
Tim Boyle	tim boyle
Jawhar Jordan	jawhar jordan
Konata Mumpfield	konata mumpfield
Mike Gillislee	mike gillislee
Devin Neal	devin neal
Kellen Mond	kellen mond
Matt Cole	matt cole
Jordan Matthews	jordan matthews
Ben Yurosek	ben yurosek
Josh Lambo	josh lambo
Le'Veon Bell	le'veon bell
Josh Downs	josh downs
Christine Michael	christine michael
TreVeyon Henderson	treveyon henderson
Bennie Fowler	bennie fowler
Hassan Haskins	hassan haskins
Daniel Carlson	daniel carlson
Tyler Conklin	tyler conklin
Kaden Davis	kaden davis
Jake Kumerow	jake kumerow
Aaron Rodgers	aaron rodgers
Sony Michel	sony michel
Chris Rowland	chris rowland
Zamir White	zamir white
Mike Williams	mike williams
DJ Giddens	dj giddens
Rob Kelley	rob kelley
Jaylen Samuels	jaylen samuels
Jake Elliott	jake elliott
Justin Herbert	justin herbert
J.J. Nelson	jj nelson
Davis Allen	davis allen
Peyton Barber	peyton barber
De'Angelo Henderson Sr.	de'angelo henderson
Malcolm Perry	malcolm perry
Jake Browning	jake browning
Stevan Ridley	stevan ridley
Pat Bryant	pat bryant
Devin Smith	devin smith
Sam Ficken	sam ficken
Darius Slayton	darius slayton
Chris Godwin Jr.	chris godwin
Zach Ertz	zach ertz
Johnny Wilson	johnny wilson
Damien Williams	damien williams
Josh Ferguson	josh ferguson
Jordan Akins	jordan akins
Tahj Washington	tahj washington
Justin Tucker	justin tucker
Ross Dwelley	ross dwelley
Chris Collier	chris collier
Kendall Blanton	kendall blanton
Deonte Thompson	deonte thompson
Marcus Murphy	marcus murphy
Auden Tate	auden tate
Charlie Smyth	charlie smyth
Austin Seferian-Jenkins	austin seferian-jenkins
Jordan Franks	jordan franks
Tyler Bray	tyler bray
Kyle Philips	kyle philips
Ricky Ortiz	ricky ortiz
T.J. Logan	tj logan
Tyler Loop	tyler loop
Tank Dell	tank dell
Willie Snead	willie snead
Marquez Callaway	marquez callaway
Jason Witten	jason witten
Malik Nabers	malik nabers
Larry Fitzgerald	larry fitzgerald
Alexander Hollins	alexander hollins
Alec Pierce	alec pierce
Isaiah Davis	isaiah davis
DK Metcalf	dk metcalf
DeAndrew White	deandrew white
Ray Davis	ray davis
Xavier Grimble	xavier grimble
Hayden Rucci	hayden rucci
Jermaine Jackson	jermaine jackson
Brett Maher	brett maher
Salvon Ahmed	salvon ahmed
Quinn Ewers	quinn ewers
Demetric Felton	demetric felton
Jehu Chesson	jehu chesson
Marvin Harrison Jr.	marvin harrison
Antonio Gates	antonio gates
Jaylen Waddle	jaylen waddle
Wan'Dale Robinson	wan'dale robinson
Lucas Krull	lucas krull
Tre Tucker	tre tucker
Chris Olave	chris olave
Roman Wilson	roman wilson
Evan McPherson	evan mcpherson
Adam Shaheen	adam shaheen
Avery Williams	avery williams
Tyreek Hill	tyreek hill
Darren Fells	darren fells
Levine Toilolo	levine toilolo
Roschon Johnson	roschon johnson
Giorgio Tavecchio	giorgio tavecchio
Lance McCutcheon	lance mccutcheon
Christian Kirk	christian kirk
Jacoby Jones	jacoby jones
Jaylen Warren	jaylen warren
Cam Newton	cam newton
Devontez Walker	devontez walker
Adam Vinatieri	adaminatieri
Tra Carson	tra carson
Antoine Green	antoine green
Terrance Ferguson	terrance ferguson
Dorian Thompson-Robinson	dorian thompson-robinson
Joe Webb	joe webb
Jalen McMillan	jalen mcmillan
Marcus Kemp	marcus kemp
Michael Wilson	michael wilson
Jeff Heuerman	jeff heuerman
Van Jefferson	van jefferson
Tylan Wallace	tylan wallace
Devonta Freeman	devonta freeman
Cam Akers	cam akers
Daniel Brown	daniel brown
J.J. Koski	jj koski
Tetairoa McMillan	tetairoa mcmillan
Brandon LaFell	brandon lafell
Jordan Reed	jordan reed
Stephen Anderson	stephen anderson
Kendall Milton	kendall milton
T.J. Hockenson	tj hockenson
JaQuan Hardy	jaquan hardy
Austin Walter	austin walter
Travis Fulgham	travis fulgham
Kenny Golladay	kenny golladay
Tyler Eifert	tyler eifert
Kristian Wilkerson	kristian wilkerson
George Pickens	george pickens
Davis Mills	davis mills
Keenan Allen	keenan allen
Elijah Cooks	elijah cooks
DJ Turner	dj turner
Chris Manhertz	chris manhertz
Alex Smith	alex smith
Darren Sproles	darren sproles
T.Y. Hilton	ty hilton
Anthony Miller	anthony miller
Tyrie Cleveland	tyrie cleveland
Jonathan Williams	jonathan williams
Isaiah Ford	isaiah ford
Scottie Phillips	scottie phillips
Cameron Latu	cameron latu
Nick Bawden	nick bawden
Kendall Hinton	kendall hinton
Marquez Valdes-Scantling	marquezaldes-scantling
Rishard Matthews	rishard matthews
Kyle Pitts	kyle pitts
John Ross	john ross
Samaje Perine	samaje perine
Alan Cross	alan cross
Devontae Booker	devontae booker
Isaiah Wright	isaiah wright
Michael Crabtree	michael crabtree
La'Mical Perine	la'mical perine
Tommy DeVito	tommy devito
John Wolford	john wolford
Jermar Jefferson	jermar jefferson
Kameron Johnson	kameron johnson
Gus Edwards	gus edwards
Jakob Johnson	jakob johnson
Deshaun Watson	deshaun watson
David Fales	david fales
Mohamed Sanu	mohamed sanu
Brenden Bates	brenden bates
Jahdae Walker	jahdae walker
Dexter Williams	dexter williams
Ezekiel Elliott	ezekiel elliott
Chris Blewitt	chris blewitt
Greg Joseph	greg joseph
Dontrelle Inman	dontrelle inman
